data,hora,local,atividade,link,url_original
03/02/2020,15h00,PLENÁRIO,SESSÃO SOLENE,https://www.congressonacional.leg.br/sessoes/agenda-do-congresso-nacional/-/pauta/23960,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
04/02/2020,14h00,PLENÁRIO,Sessão Não Deliberativa de Debates,https://www.camara.leg.br/evento-legislativo/59244,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
04/02/2020,19h00,PLENÁRIO,Sessão Deliberativa Extraordinária,https://www.camara.leg.br/evento-legislativo/59265,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
05/02/2020,14h00,PLENÁRIO,Sessão Deliberativa Ordinária,https://www.camara.leg.br/evento-legislativo/59268,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
05/02/2020,19h01,PLENÁRIO,Sessão Deliberativa Extraordinária,https://www.camara.leg.br/evento-legislativo/59275,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
06/02/2020,09h00,PLENÁRIO,Sessão Deliberativa Extraordinária,https://www.camara.leg.br/evento-legislativo/59276,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
06/02/2020,09h05,PLENÁRIO,Sessão Não Deliberativa Solene,https://www.camara.leg.br/evento-legislativo/59277,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
06/02/2020,14h00,PLENÁRIO,Sessão Não Deliberativa de Debates,https://www.camara.leg.br/evento-legislativo/59278,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
07/02/2020,09h00,PLENÁRIO,Sessão Não Deliberativa de Debates,https://www.camara.leg.br/evento-legislativo/59280,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
10/02/2020,14h00,PLENÁRIO,Sessão Não Deliberativa de Debates,https://www.camara.leg.br/evento-legislativo/59286,https://www.camara.leg.br/agenda/?dataInicial__proxy=01/02/2020&dataInicial=01/02/2020&dataFinal__proxy=01/07/2020&dataFinal=01/07/2020&categorias=Plen%C3%A1rio&pagina=1
