link,option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59509,9394
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59527,28414
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59527,28412
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59530,28452
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59530,28450
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59530,28448
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59530,28436
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536,28492
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536,28485
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536,28484
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536,28482
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536,28481
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59539,28583
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59539,28577
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59539,28576
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59539,28572
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59539,28520
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59542,28607
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59542,28598
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59542,28593
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28644
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28643
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28642
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28641
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28634
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28632
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28625
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543,28621
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59549,28665
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59549,28664
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28765
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28762
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28760
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28758
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28757
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28735
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28734
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557,28729
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28856
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28842
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28840
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28819
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28813
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560,28811
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59565,28889
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59565,28859
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28918
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28917
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28911
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28910
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28907
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28906
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28905
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28904
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569,28898
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28930
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28929
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28928
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28926
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28925
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28924
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570,28923
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28984
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28983
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28981
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28979
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28977
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28954
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571,28953
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29020
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29018
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29017
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29016
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29015
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29011
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59573,29009
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29059
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29055
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29054
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29025
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59577,29024
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29081
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29080
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29077
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29076
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29074
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29073
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29072
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29071
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29069
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29068
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29064
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580,29061
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29146
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29144
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29143
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29142
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29141
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29140
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584,29113
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29217
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29216
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29215
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29208
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29181
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29180
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29179
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29169
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29166
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29162
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585,29150
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29281
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29279
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29278
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29275
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29274
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29273
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29266
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29260
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29259
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29253
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29251
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29240
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29237
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588,29233
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29358
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29353
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29346
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29334
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29333
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594,29329
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29378
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29377
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29376
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29375
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29374
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29371
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29370
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29368
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29367
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596,29366
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29405
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29404
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29403
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597,29381
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29485
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29483
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29463
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29461
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29456
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29455
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29454
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601,29452
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59612,29503
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59613,29557
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59613,29530
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29613
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29612
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29611
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29607
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29600
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618,29593
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29660
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29649
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29648
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29643
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29642
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29641
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29640
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29639
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29638
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29637
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29633
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29631
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59621,29616
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59637,29698
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59637,29692
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59637,29691
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59637,29690
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59637,29674
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59639,29790
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59639,29789
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59639,29788
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59639,29783
