data,hora,local,evento,link,url,id,final_url
18/03/2020,09h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA,https://www.camara.leg.br/evento-legislativo/59509,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59509,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59509
25/03/2020,19h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59527,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59527,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59527
26/03/2020,15h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59530,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59530,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59530
31/03/2020,18h40,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59536,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59536,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536
01/04/2020,11h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59539,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59539,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59539
01/04/2020,19h34,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59542,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59542,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59542
03/04/2020,10h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59543,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59543,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543
06/04/2020,15h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59547,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59547,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59547
07/04/2020,15h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59549,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59549,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59549
08/04/2020,11h00,PLENÁRIO,SESSAO DELIBERATIVA EXTRAORDINARIA (VIRTUAL),https://www.camara.leg.br/evento-legislativo/59555,https://www.camara.leg.br/agenda/?dataInicial__proxy=18/03/2020&dataInicial=18/03/2020&dataFinal__proxy=06/07/2021&dataFinal=22/09/2021&categorias=Plen%C3%A1rio&pagina=1,59555,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59555
